"","local","visita","pgan","pemp","pper"
"61","Paraguay","Peru",0.722222222222222,0.222222222222222,0.0555555555555556
"62","Paraguay","Uruguay",0.722222222222222,0.222222222222222,0.0555555555555556
"63","Paraguay","Venezuela",0.722222222222222,0.0555555555555556,0.222222222222222
"64","Peru","Argentina",0.0555555555555556,0.555555555555556,0.388888888888889
"65","Peru","Bolivia",0.555555555555556,0.388888888888889,0.0555555555555556
"66","Peru","Brasil",0.0833333333333333,0.583333333333333,0.333333333333333
"67","Peru","Chile",0.722222222222222,0.0555555555555556,0.222222222222222
"68","Peru","Colombia",0.0555555555555556,0.388888888888889,0.555555555555556
"69","Peru","Ecuador",0.222222222222222,0.388888888888889,0.388888888888889
"70","Peru","Paraguay",0.722222222222222,0.222222222222222,0.0555555555555556
"71","Peru","Uruguay",0.388888888888889,0.222222222222222,0.388888888888889
"72","Peru","Venezuela",0.722222222222222,0.222222222222222,0.0555555555555556
"73","Uruguay","Argentina",0.388888888888889,0.388888888888889,0.222222222222222
"74","Uruguay","Bolivia",0.888888888888889,0.0555555555555556,0.0555555555555556
"75","Uruguay","Brasil",0.333333333333333,0.333333333333333,0.333333333333333
"76","Uruguay","Chile",0.722222222222222,0.222222222222222,0.0555555555555556
"77","Uruguay","Colombia",0.555555555555556,0.388888888888889,0.0555555555555556
"78","Uruguay","Ecuador",0.555555555555556,0.388888888888889,0.0555555555555556
"79","Uruguay","Paraguay",0.388888888888889,0.222222222222222,0.388888888888889
"80","Uruguay","Peru",0.555555555555556,0.222222222222222,0.222222222222222
"81","Uruguay","Venezuela",0.388888888888889,0.388888888888889,0.222222222222222
"82","Venezuela","Argentina",0.222222222222222,0.0555555555555556,0.722222222222222
"83","Venezuela","Bolivia",0.722222222222222,0.222222222222222,0.0555555555555556
"84","Venezuela","Brasil",0.0833333333333333,0.0833333333333333,0.833333333333333
"85","Venezuela","Chile",0.0555555555555556,0.222222222222222,0.722222222222222
"86","Venezuela","Colombia",0.388888888888889,0.388888888888889,0.222222222222222
"87","Venezuela","Ecuador",0.388888888888889,0.388888888888889,0.222222222222222
"88","Venezuela","Paraguay",0.222222222222222,0.222222222222222,0.555555555555556
"89","Venezuela","Peru",0.722222222222222,0.0555555555555556,0.222222222222222
"90","Venezuela","Uruguay",0.222222222222222,0.388888888888889,0.388888888888889
